"a","D1_Gamma","D2_Gamma","D3_Gamma","D4_Gamma","D5_Gamma","D1_Beta","D2_Beta","D3_Beta","D4_Beta","D5_Beta","Beta_Gamma"
0.5,0.999105145234648,0.999105145234648,0.999105145234648,0.941808792819758,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.977659014160004,0.977659014160004
0.55,0.999105145234648,0.999105145234648,0.999105145234648,0.941808792819758,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.977659014160004,0.977659014160004
0.6,0.988362079156856,0.988362079156856,0.988362079156856,0.974037991053133,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.966935149288048,0.966935149288048
0.65,0.977619013079064,0.977619013079064,0.977619013079064,0.984781057130925,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.952636662792106,0.952636662792106
0.7,0.977619013079064,0.977619013079064,0.977619013079064,0.984781057130925,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.952636662792106,0.952636662792106
0.75,0.963294924975342,0.963294924975342,0.963294924975342,0.991943101182787,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.934763554672179,0.934763554672179
0.8,0.963294924975342,0.963294924975342,0.963294924975342,0.991943101182787,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.934763554672179,0.934763554672179
0.85,0.963294924975342,0.963294924975342,0.963294924975342,0.991943101182787,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.934763554672179,0.934763554672179
0.9,0.943599303832723,0.943599303832723,0.943599303832723,0.995524123208717,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.913315824928267,0.913315824928267
0.95,0.938227770793827,0.938227770793827,0.938227770793827,0.999105145234648,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.899017338432325,0.899017338432325
1,0.937275985663082,0.937275985663082,0.937275985663082,1,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.898033637300117,0.898033637300117
1.05,0.934646748767896,0.934646748767896,0.934646748767896,0.999105145234648,1,0.983901395448336,0.983901395448336,0.983901395448336,0.898033637300117,0.89544271680834,0.89544271680834
1.1,0.966875947001272,0.966875947001272,0.934646748767896,0.999105145234648,1,0.973167925679808,0.973167925679808,0.983901395448336,0.898033637300117,0.89544271680834,0.89544271680834
1.15,0.966875947001272,0.966875947001272,0.934646748767896,0.999105145234648,1,0.973167925679808,0.973167925679808,0.983901395448336,0.898033637300117,0.89544271680834,0.89544271680834
1.2,0.948970836871619,0.948970836871619,0.909579594586382,0.995524123208717,1,0.973167925679808,0.973167925679808,0.983901395448336,0.898033637300117,0.870420365440442,0.870420365440442
1.25,0.95255185889755,0.95255185889755,0.909579594586382,0.995524123208717,1,0.973167925679808,0.973167925679808,0.98032357219216,0.898033637300117,0.873994987064428,0.873994987064428
1.3,0.966875947001272,0.966875947001272,0.909579594586382,0.995524123208717,1,0.958856632655105,0.958856632655105,0.98032357219216,0.898033637300117,0.873994987064428,0.873994987064428
1.35,0.966875947001272,0.966875947001272,0.909579594586382,0.995524123208717,1,0.95527880939893,0.95527880939893,0.973167925679808,0.892666902415854,0.870420365440442,0.870420365440442
1.4,0.966875947001272,0.966875947001272,0.909579594586382,0.995524123208717,1,0.95527880939893,0.95527880939893,0.973167925679808,0.892666902415854,0.870420365440442,0.870420365440442
1.45,0.966875947001272,0.966875947001272,0.909579594586382,0.995524123208717,1,0.95527880939893,0.95527880939893,0.973167925679808,0.892666902415854,0.870420365440442,0.870420365440442
1.5,0.963294924975342,0.963294924975342,0.909579594586382,0.995524123208717,1,0.901611460556293,0.901611460556293,0.958856632655105,0.869411051250711,0.847185324884537,0.847185324884537
1.55,0.963294924975342,0.963294924975342,0.909579594586382,0.995524123208717,1,0.901611460556293,0.901611460556293,0.958856632655105,0.869411051250711,0.847185324884537,0.847185324884537
1.6,0.963294924975342,0.963294924975342,0.909579594586382,0.995524123208717,1,0.890877990787766,0.890877990787766,0.951700986142754,0.846155200085569,0.822162973516639,0.822162973516639
1.65,0.974037991053133,0.974037991053133,0.884512440404868,0.981200035104995,1,0.890877990787766,0.890877990787766,0.951700986142754,0.846155200085569,0.807864487020698,0.807864487020698
1.7,0.95255185889755,0.95255185889755,0.884512440404868,0.981200035104995,1,0.833632818688953,0.833632818688953,0.940967516374226,0.817532614036163,0.775692892404829,0.775692892404829
1.75,0.95255185889755,0.95255185889755,0.884512440404868,0.981200035104995,1,0.833632818688953,0.833632818688953,0.940967516374226,0.817532614036163,0.775692892404829,0.775692892404829
1.8,0.945389814845688,0.945389814845688,0.884512440404868,0.981200035104995,1,0.830054995432778,0.830054995432778,0.940967516374226,0.817532614036163,0.775692892404829,0.775692892404829
1.85,0.913160616612313,0.913160616612313,0.884512440404868,0.981200035104995,1,0.76923200007779,0.76923200007779,0.940967516374226,0.817532614036163,0.775692892404829,0.775692892404829
1.9,0.920322660664174,0.920322660664174,0.866607330275214,0.968666458014238,1,0.788910027986756,0.788910027986756,0.928445134977611,0.810376967523811,0.770330959968851,0.770330959968851
1.95,0.89883652850859,0.89883652850859,0.866607330275214,0.968666458014238,1,0.690519888441923,0.690519888441923,0.901611460556293,0.779965469846317,0.752457851848924,0.752457851848924
2,0.89883652850859,0.89883652850859,0.866607330275214,0.968666458014238,1,0.706620093094714,0.706620093094714,0.885511255903502,0.767443088449702,0.743521297788961,0.743521297788961
2.05,0.902417550534521,0.902417550534521,0.866607330275214,0.968666458014238,1,0.661897302392517,0.661897302392517,0.855099758226008,0.731664855887944,0.707775081549107,0.707775081549107
2.1,0.902417550534521,0.902417550534521,0.866607330275214,0.968666458014238,1,0.661897302392517,0.661897302392517,0.855099758226008,0.731664855887944,0.707775081549107,0.707775081549107
2.15,0.794986889756602,0.794986889756602,0.866607330275214,0.968666458014238,1,0.550984781451068,0.550984781451068,0.855099758226008,0.731664855887944,0.707775081549107,0.707775081549107
2.2,0.798567911782532,0.798567911782532,0.866607330275214,0.968666458014238,1,0.559929339591507,0.559929339591507,0.842577376829393,0.724509209375592,0.71671163560907,0.71671163560907
2.25,0.803939444821428,0.803939444821428,0.861235797236318,0.961504413962376,1,0.550984781451068,0.550984781451068,0.812165879151899,0.688730976813835,0.677390797745231,0.677390797745231
2.3,0.821844554951081,0.821844554951081,0.839749665080735,0.945389814845688,1,0.550984781451068,0.550984781451068,0.812165879151899,0.688730976813835,0.67024155449726,0.67024155449726
2.35,0.821844554951081,0.821844554951081,0.839749665080735,0.945389814845688,1,0.558140427963419,0.558140427963419,0.801432409383371,0.679786418673396,0.66309231124929,0.66309231124929
2.4,0.821844554951081,0.821844554951081,0.839749665080735,0.945389814845688,1,0.558140427963419,0.558140427963419,0.801432409383371,0.679786418673396,0.66309231124929,0.66309231124929
2.45,0.753805136458399,0.753805136458399,0.839749665080735,0.945389814845688,1,0.525940018657838,0.525940018657838,0.801432409383371,0.679786418673396,0.66309231124929,0.66309231124929
2.5,0.753805136458399,0.753805136458399,0.839749665080735,0.945389814845688,1,0.525940018657838,0.525940018657838,0.801432409383371,0.679786418673396,0.66309231124929,0.66309231124929
2.55,0.667860607836064,0.667860607836064,0.839749665080735,0.945389814845688,1,0.49016178609608,0.49016178609608,0.801432409383371,0.679786418673396,0.66309231124929,0.66309231124929
2.6,0.667860607836064,0.667860607836064,0.839749665080735,0.945389814845688,1,0.49016178609608,0.49016178609608,0.801432409383371,0.679786418673396,0.66309231124929,0.66309231124929
2.65,0.639212431628619,0.639212431628619,0.839749665080735,0.945389814845688,1,0.511628725633134,0.511628725633134,0.762076353565438,0.649374920995901,0.655943068001319,0.655943068001319
2.7,0.628469365550827,0.628469365550827,0.839749665080735,0.945389814845688,1,0.49016178609608,0.49016178609608,0.762076353565438,0.649374920995901,0.655943068001319,0.655943068001319
2.75,0.628469365550827,0.628469365550827,0.839749665080735,0.945389814845688,1,0.49016178609608,0.49016178609608,0.762076353565438,0.649374920995901,0.655943068001319,0.655943068001319
2.8,0.628469365550827,0.628469365550827,0.839749665080735,0.945389814845688,1,0.49016178609608,0.49016178609608,0.762076353565438,0.649374920995901,0.655943068001319,0.655943068001319
2.85,0.628469365550827,0.628469365550827,0.839749665080735,0.945389814845688,1,0.491950697724168,0.491950697724168,0.738820502400296,0.636852539599286,0.630920716633421,0.630920716633421
2.9,0.628469365550827,0.628469365550827,0.839749665080735,0.945389814845688,1,0.491950697724168,0.491950697724168,0.738820502400296,0.636852539599286,0.630920716633421,0.630920716633421
2.95,0.5317817708507,0.5317817708507,0.839749665080735,0.945389814845688,1,0.420394232600652,0.420394232600652,0.738820502400296,0.636852539599286,0.630920716633421,0.630920716633421
3,0.5317817708507,0.5317817708507,0.839749665080735,0.945389814845688,1,0.420394232600652,0.420394232600652,0.738820502400296,0.636852539599286,0.630920716633421,0.630920716633421
